strategy_id,date,total_pnl_dollars,total_pnl_pct,number_of_trades,number_of_symbols_traded,winning_trades_count,losing_trades_count,biggest_winner_contribution,biggest_loser_contribution,top_symbol,top_symbol_contribution,top_symbol_pct_of_day_pnl,cumulative_equity_before_day,cumulative_equity_after_day,rolling_drawdown_before_day,rolling_drawdown_after_day,positive_symbols_count,negative_symbols_count,rising_market,falling_or_volatile,calmer,regime_primary,spy_vol_20d,volatility_bucket,gap_pct,uptrend_regime,trend_stack_regime,dominant_symbol_family,gap_bucket,day_of_week,breadth_proxy,participation_type,gap_continuation_label,strategy_label
cross_sectional_momentum,2021-11-30 00:00:00+00:00,-2320.2410092868668,-9.280964037147466,60,3,20,40,19.16431396965112,-84.77474398259571,NFLX,-1555.682784574358,67.04832723616508,86951.60617389364,84631.36516460677,-0.6931597877604445,-3.343091322116809,1,2,False,True,True,falling_or_volatile,0.12783683552142483,mid_vol,0.006628502561012217,True,True,mega_cap_tech_ex_nvda,-1% to 1%,Tuesday,0.3333333333333333,multi_symbol_driven,mixed_day,Cross-sectional momentum
cross_sectional_momentum,2021-12-01 00:00:00+00:00,-5803.650845841359,-23.214603383365436,59,3,0,59,-0.4999000199958152,-122.75520029209059,TSLA,-2236.9141099188264,38.54322338363447,84631.36516460677,78827.71431876541,-3.343091322116809,-9.971401626620857,0,3,False,True,False,falling_or_volatile,0.13178775988938743,mid_vol,0.013915459000497954,True,True,mega_cap_tech_ex_nvda,1% to 3%,Wednesday,0.0,multi_symbol_driven,mixed_day,Cross-sectional momentum
cross_sectional_momentum,2021-12-02 00:00:00+00:00,515.7620922916103,2.063048369166441,58,3,19,39,64.37936225867145,-25.67574110991913,NVDA,1069.1470754770228,207.29462119378294,78827.71431876541,79343.47641105702,-9.971401626620857,-9.382353235906816,1,2,False,True,False,falling_or_volatile,0.14169587060956482,mid_vol,-0.007331845712464147,True,True,NVDA,-1% to 1%,Thursday,0.3333333333333333,one_symbol_driven,mixed_day,Cross-sectional momentum
cross_sectional_momentum,2021-12-03 00:00:00+00:00,-6217.312738086912,-24.869250952347645,57,3,0,57,-0.49990001999584793,-171.73889082455844,TSLA,-3156.614509074384,50.771364447169255,79343.47641105702,73126.16367297011,-9.382353235906816,-16.483103984500737,0,3,False,True,False,falling_or_volatile,0.1427688860928305,mid_vol,0.0001936215528450802,True,True,mega_cap_tech_ex_nvda,-1% to 1%,Friday,0.0,multi_symbol_driven,mixed_day,Cross-sectional momentum
cross_sectional_momentum,2021-12-06 00:00:00+00:00,-673.6052716200938,-2.694421086480375,56,3,15,41,40.9564091200929,-55.6395570201027,NVDA,-997.0846559747084,148.0220981015501,73126.16367297011,72452.55840135002,-16.483103984500737,-17.252424000753443,1,2,False,True,False,falling_or_volatile,0.14919082004382536,mid_vol,-0.026444662095984284,True,True,NVDA,-3% to -1%,Monday,0.3333333333333333,one_symbol_driven,mixed_day,Cross-sectional momentum
cross_sectional_momentum,2021-12-07 00:00:00+00:00,6291.889916654021,25.167559666616086,55,3,53,2,203.72637801206872,-0.4999000199961749,NVDA,3644.2208424154287,57.91933569545663,72452.55840135002,78744.44831800404,-17.252424000753443,-10.06649916186575,3,0,False,True,False,falling_or_volatile,0.16701767701460873,high_vol,0.03068712474983326,True,True,NVDA,>=3%,Tuesday,1.0,multi_symbol_driven,major_gap_reaction,Cross-sectional momentum
cross_sectional_momentum,2021-12-08 00:00:00+00:00,1.0883667300659,0.004353466920263599,55,4,33,22,42.65662892871869,-51.359591095479345,NVDA,-917.5464036214114,84304.89266847164,78744.44831800404,78745.5366847341,-10.06649916186575,-10.065256145598301,2,2,True,True,False,rising_market,0.1668050996559175,high_vol,-0.012978986402966575,True,True,NVDA,-3% to -1%,Wednesday,0.5,one_symbol_driven,mixed_day,Cross-sectional momentum
cross_sectional_momentum,2021-12-09 00:00:00+00:00,-5820.911078726989,-23.283644314907956,55,4,0,55,-0.4999000199958655,-161.41149483131835,TSLA,-3018.3150475175626,51.852966085468125,78745.5366847341,72924.62560600712,-10.065256145598301,-16.713279245122735,0,4,True,True,False,rising_market,0.16605619854508563,high_vol,-0.0077739110911539955,True,True,mega_cap_tech_ex_nvda,-1% to 1%,Thursday,0.0,multi_symbol_driven,broad_continuation,Cross-sectional momentum
cross_sectional_momentum,2021-12-10 00:00:00+00:00,338.69798179248755,1.3547919271699502,55,4,33,22,69.93859672132777,-24.82380236281503,TSLA,613.6383802645562,181.17568254083022,72924.62560600712,73263.3235877996,-16.713279245122735,-16.32645457519303,3,1,True,True,False,rising_market,0.16899748874018858,high_vol,0.004931261207411719,True,True,mega_cap_tech_ex_nvda,-1% to 1%,Friday,0.75,one_symbol_driven,mixed_day,Cross-sectional momentum
cross_sectional_momentum,2021-12-13 00:00:00+00:00,-5870.64697154364,-23.482587886174557,55,4,0,55,-0.4999000199958086,-173.76661653970586,NVDA,-3090.9836460520487,52.65149924760847,73263.3235877996,67392.67661625597,-16.32645457519303,-23.031280700884427,0,4,False,True,False,falling_or_volatile,0.17024609502149193,high_vol,0.0016589250165892633,True,True,NVDA,-1% to 1%,Monday,0.0,multi_symbol_driven,mixed_day,Cross-sectional momentum
cross_sectional_momentum,2021-12-14 00:00:00+00:00,-413.8555392838025,-1.65542215713521,55,4,19,36,15.116151440647634,-25.22045659664903,TSLA,-371.0846708014783,89.66526615631597,67392.67661625597,66978.82107697216,-23.031280700884427,-23.503942307944502,1,3,False,True,False,falling_or_volatile,0.171905871537711,high_vol,-0.022164276401564487,True,True,mega_cap_tech_ex_nvda,-3% to -1%,Tuesday,0.25,one_symbol_driven,mixed_day,Cross-sectional momentum
