entry_time,exit_time,mode,side,entry_price,exit_price,gross_price_return_pct,net_trade_return_pct,bars_held,entry_reason,exit_reason,cost_bps_per_side,equity_after_trade
2022-05-03 14:30:00-04:00,2022-05-03 14:45:00-04:00,active_uncontested_session_reset|hybrid_reentry_once,short,317.5916,319.179558,-0.4999999999999867,-0.539796019999983,2,bias_change,stop_loss,2.0,128866.44732692579
2022-05-03 15:15:00-04:00,2022-05-03 15:15:00-04:00,active_uncontested_session_reset|hybrid_reentry_once,long,319.76,318.1612,-0.4999999999999946,-0.539796019999983,1,bias_change,stop_loss,2.0,128170.83137313966
2022-05-04 10:15:00-04:00,2022-05-04 12:15:00-04:00,active_uncontested_session_reset|hybrid_reentry_once,short,315.78,317.35889999999995,-0.49999999999999245,-0.539796019999994,9,bias_change,stop_loss,2.0,127478.97032658655
2022-05-04 12:30:00-04:00,2022-05-04 14:30:00-04:00,active_uncontested_session_reset|hybrid_reentry_once,long,318.14,316.54929999999996,-0.5000000000000084,-0.5397960200000052,9,bias_change,stop_loss,2.0,126790.84391842665
2022-05-04 14:45:00-04:00,2022-05-04 15:45:00-04:00,active_uncontested_session_reset|hybrid_reentry_once,long,320.48,329.74,2.8894158761857183,2.8482642254118895,5,stop_reentry,session_close,2.0,130402.18216685302
2022-05-05 10:00:00-04:00,2022-05-05 15:45:00-04:00,active_uncontested_session_reset|hybrid_reentry_once,short,321.06,313.39,2.38896156481655,2.3480100757490963,24,bias_change,session_close,2.0,133464.03854312742
2022-05-06 10:00:00-04:00,2022-05-06 10:00:00-04:00,active_uncontested_session_reset|hybrid_reentry_once,short,305.85,307.37925,-0.4999999999999968,-0.5397960200000163,1,bias_change,stop_loss,2.0,132743.60497494033
2022-05-06 10:30:00-04:00,2022-05-06 10:30:00-04:00,active_uncontested_session_reset|hybrid_reentry_once,long,309.86,308.3107,-0.5000000000000053,-0.5397960200000052,1,bias_change,stop_loss,2.0,132027.06027848108
2022-05-06 10:45:00-04:00,2022-05-06 14:00:00-04:00,active_uncontested_session_reset|hybrid_reentry_once,long,309.4601,307.9127995,-0.5000000000000018,-0.539796019999983,14,stop_reentry,stop_loss,2.0,131314.38346177485
2022-05-06 14:45:00-04:00,2022-05-06 14:45:00-04:00,active_uncontested_session_reset|hybrid_reentry_once,short,307.43,308.96714999999995,-0.4999999999999805,-0.5397960199999607,1,bias_change,stop_loss,2.0,130605.5536461607
2022-05-06 15:00:00-04:00,2022-05-06 15:30:00-04:00,active_uncontested_session_reset|hybrid_reentry_once,short,307.86,309.3993,-0.49999999999998984,-0.539796019999983,3,stop_reentry,stop_loss,2.0,129900.55006567978
2022-05-09 10:45:00-04:00,2022-05-09 12:00:00-04:00,active_uncontested_session_reset|hybrid_reentry_once,short,300.87,302.37435,-0.499999999999996,-0.539796019999983,6,bias_change,stop_loss,2.0,129199.35206646715
2022-05-09 13:00:00-04:00,2022-05-09 15:15:00-04:00,active_uncontested_session_reset|hybrid_reentry_once,short,299.43,300.2,-0.25715526166382185,-0.2970484098453685,9,bias_change,reverse_open,2.0,128815.5674456232
2022-05-09 15:15:00-04:00,2022-05-09 15:15:00-04:00,active_uncontested_session_reset|hybrid_reentry_once,long,300.2,298.699,-0.4999999999999921,-0.539796019999983,1,bias_change,stop_loss,2.0,128120.22613941133
2022-05-09 15:45:00-04:00,2022-05-09 15:45:00-04:00,active_uncontested_session_reset|hybrid_reentry_once,short,297.31,297.19,0.04036191180922423,0.00034976865899150056,1,bias_change,session_close,2.0,128120.67426380819
