timeframe_min,timeframe_label,stop_loss_pct,take_profit_pct,ending_equity,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,profit_factor,trade_count,win_count,win_rate_pct,long_trades,short_trades,session_count,avg_trade_return_pct,avg_holding_bars,avg_holding_minutes,exposure_pct,bullish_signal_count,bearish_signal_count,bar_count
5,5m,0.5,0.75,178034.74642342684,78.03474642342685,12.384024444837127,14.509149739265471,0.9468716301126159,1.0804296564054512,3951,1665,42.14123006833713,1871,2080,1245,0.015707553704000884,16.079979751961528,80.39989875980764,62.73916177530635,2932,3500,97110
3,3m,0.75,2.0,177621.47243975187,77.62147243975188,12.331171221622728,16.452701834047666,0.8096493049062847,1.0694287361825943,5219,2183,41.827936386280896,2558,2661,1245,0.01221159502537009,26.826786740754933,80.4803602222648,85.60271856657398,5077,5764,161850
3,3m,0.5,1.5,177036.91675953323,77.03691675953324,12.256245206874961,15.446644899021067,0.839231017678781,1.0675462729418814,5422,2205,40.66765031353744,2648,2774,1245,0.011630275380272767,24.5313537440059,73.59406123201771,80.85696632684585,5077,5764,161850
10,10m,0.25,0.75,175688.89009200188,75.68889009200188,12.082705384204928,10.328070852954774,1.3067504922351116,1.148409970677834,2443,807,33.03315595579206,1137,1306,1245,0.02389730866572027,6.566925910765453,65.66925910765453,28.236021007105343,1442,1702,48555
15,15m,2.0,2.0,175483.70761744652,75.48370761744651,12.056197923736134,15.528869030956239,0.9578097347827793,1.1553794655911027,1377,664,48.22076978939724,665,712,1245,0.04392768724622392,12.466230936819173,186.9934640522876,50.26258881680569,984,1195,32370
15,15m,0.75,2.0,175380.06949311608,75.38006949311608,12.042799548848059,15.445707395764675,1.0105293426440172,1.1581141855809347,1407,651,46.26865671641791,674,733,1245,0.04255011221999162,11.427860696517413,171.4179104477612,46.22798887859128,984,1195,32370
3,3m,1.0,2.0,175268.4379206124,75.2684379206124,12.028360711827467,16.529254344376167,0.7866456926635418,1.0679187162369266,5191,2179,41.976497784627234,2546,2645,1245,0.012048327153157708,27.32363706414949,81.97091119244847,86.8273092369478,5077,5764,161850
5,5m,0.75,2.0,174611.18724837952,74.61118724837952,11.943200458854042,17.085341437324686,0.8269880029424104,1.087717830170366,3327,1401,42.11000901713255,1627,1700,1245,0.018431544877109327,22.21941689209498,111.0970844604749,74.67202141900937,2932,3500,97110
15,15m,0.5,1.0,174358.6864513772,74.3586864513772,11.910415835870714,11.049138177272633,1.1373208163518294,1.1570382640234445,1578,686,43.472750316856775,740,838,1245,0.03692370344839351,8.560202788339671,128.40304182509507,37.2289156626506,984,1195,32370
5,5m,1.5,1.5,174268.56911506236,74.26856911506236,11.89870586025239,17.90271646281889,0.7924820898324557,1.0847649926275806,3360,1428,42.5,1639,1721,1245,0.018282254238354726,22.358333333333334,111.79166666666667,76.04881062712387,2932,3500,97110
15,15m,1.0,2.0,173730.29803738484,73.73029803738484,11.828661391084182,20.99480216300926,0.9615466091629925,1.1531059634063947,1391,660,47.44787922358016,668,723,1245,0.04255812426928005,12.057512580877066,180.862688713156,48.69941303676244,984,1195,32370
10,10m,0.75,0.25,173531.49365108876,73.53149365108875,11.802747478154107,6.815100014177244,1.2760421461646982,1.1350996129519306,2812,1954,69.48790896159316,1297,1515,1245,0.020272869895400395,5.393669985775249,53.93669985775249,26.075584388837402,1442,1702,48555
5,5m,1.5,3.0,172008.86653923822,72.00886653923821,11.60348572446881,17.342507088748327,0.7825113485938513,1.086363894565509,3254,1380,42.40934234787953,1598,1656,1245,0.018562862566589018,23.431161647203442,117.15580823601721,77.34733807022963,2932,3500,97110
5,5m,1.5,4.0,171460.45370273475,71.46045370273475,11.531371884070563,17.541459827785598,0.7811696024635864,1.0861759226207666,3247,1378,42.43917462272867,1596,1651,1245,0.01849934917265641,23.49183862026486,117.4591931013243,77.39161775306354,2932,3500,97110
15,15m,0.25,4.0,171354.62401843615,71.35462401843616,11.517434582669072,8.139300999135902,1.1607286796641263,1.208291155933302,1574,457,29.03430749682338,747,827,1245,0.035711235507498613,6.645489199491741,99.68233799237612,27.732468334877975,984,1195,32370
3,3m,1.5,2.0,171138.97203884635,71.13897203884633,11.489012908424524,16.82741629771476,0.752824769648235,1.0652564794507746,5185,2179,42.02507232401157,2542,2643,1245,0.011615549260026392,27.490646094503376,82.47193828351013,87.29502625888168,5077,5764,161850
5,5m,1.0,2.0,170586.84258912952,70.58684258912953,11.416115055651277,18.424558364606114,0.7846099520065787,1.0843427466347995,3299,1399,42.406789936344346,1617,1682,1245,0.017933219092022137,22.838435889663533,114.19217944831766,76.295953042941,2932,3500,97110
3,3m,2.0,2.0,169869.28805151544,69.86928805151544,11.321094331374004,16.74850244124456,0.7425720090323127,1.0644188510089718,5185,2179,42.02507232401157,2542,2643,1245,0.011475476086288192,27.491417550626807,82.47425265188042,87.30058696323756,5077,5764,161850
15,15m,0.5,0.75,168889.6577666689,68.8896577666689,11.19085051599753,13.13203043245511,1.1463604662776965,1.1417754622807654,1686,769,45.610913404507706,776,910,1245,0.03251825214961194,7.418742586002373,111.2811387900356,33.74111831943157,984,1195,32370
15,15m,0.25,3.0,168257.37020279837,68.25737020279836,11.10646630331531,8.13930099913598,1.1517290778500648,1.2009708453562962,1576,457,28.99746192893401,747,829,1245,0.034476211882706394,6.629441624365482,99.44162436548223,27.686129131912264,984,1195,32370
3,3m,0.75,1.0,168202.73378833904,68.20273378833906,11.099162738873215,18.40911179951731,0.7555800980616596,1.0586189743458099,5583,2343,41.966684578183774,2716,2867,1245,0.010397442420666871,24.46569944474297,73.39709833422891,83.20049428483163,5077,5764,161850
3,3m,0.5,0.75,167883.1227014792,67.88312270147921,11.056400532229759,14.502722621913676,0.7901772203939642,1.0554964095171702,6022,2491,41.364995018266356,2904,3118,1245,0.009503739896730224,20.64513450680837,61.935403520425105,74.96570898980538,5077,5764,161850
3,3m,1.0,1.0,167830.32604324637,67.83032604324637,11.049330381826872,19.768776994859273,0.7460597854769201,1.0584448854934763,5554,2340,42.13179690313288,2705,2849,1245,0.010435474351219297,24.923838674828954,74.77151602448686,84.440531356194,5077,5764,161850
3,3m,0.75,4.0,167307.3621724996,67.3073621724996,10.979202820910562,16.529887623512806,0.7367880590027343,1.063519246367415,5175,2161,41.75845410628019,2541,2634,1245,0.011151614828170123,27.11072463768116,81.33217391304348,85.81958603645352,5077,5764,161850
15,15m,0.25,2.0,167116.05585825694,67.11605585825693,10.953505658382067,7.8903657836277175,1.17443549404326,1.1962383522512874,1593,463,29.064657878217197,752,841,1245,0.03361736410917211,6.492153170119272,97.38229755178908,27.293790546802594,984,1195,32370
3,3m,1.0,4.0,166785.28115847666,66.78528115847666,10.909019039201539,17.59147108897198,0.7283957393945251,1.0632318431661087,5146,2157,41.91605130198212,2529,2617,1245,0.011176887737195874,27.618344345122424,82.85503303536727,87.04232313870868,5077,5764,161850
5,5m,2.0,1.5,165890.96674065615,65.89096674065615,10.788387396227229,19.077843169875397,0.7227713686462062,1.0775686479860969,3360,1428,42.5,1639,1721,1245,0.01684186382407048,22.37470238095238,111.87351190476191,76.11059623107815,2932,3500,97110
3,3m,0.25,1.0,165469.88620516704,65.46988620516704,10.731409301251293,12.150232546422401,0.8421762422745444,1.0614097366709019,6270,2147,34.24242424242424,3038,3232,1245,0.008747106443819323,16.999521531100477,50.99856459330143,63.136855112758724,5077,5764,161850
5,5m,0.25,0.75,165376.7659985623,65.3767659985623,10.718793220253641,12.503125520589498,0.9545046004977819,1.0807611842737783,4322,1419,32.83202221193891,2037,2285,1245,0.01237280548885741,11.159879685330866,55.79939842665433,45.83565029348161,2932,3500,97110
3,3m,0.75,3.0,164940.85448195325,64.94085448195325,10.659659748000339,16.839358060395483,0.7184620340298129,1.0617520282466397,5183,2162,41.713293459386456,2544,2639,1245,0.010867953016342158,27.065406135442792,81.19621840632837,85.80166821130678,5077,5764,161850
5,5m,2.0,3.0,164575.30233604932,64.57530233604933,10.609974689844126,18.172766053054456,0.7177944964622791,1.0796647472204934,3254,1380,42.40934234787953,1598,1656,1245,0.017229208051532167,23.4480639213276,117.240319606638,77.40912367418392,2932,3500,97110
15,15m,1.0,1.0,164383.5658458316,64.38356584583158,10.583879079060576,17.092585808967208,0.9215754249928788,1.1290905209381485,1526,747,48.95150720838794,719,807,1245,0.034833984998268494,10.384665792922673,155.7699868938401,45.3228297806611,984,1195,32370
