strategy_id,family,cluster_dimension,cluster_value,trade_count,expectancy,payoff_ratio,win_rate,average_MFE,average_MAE,drawdown_contribution,profit_concentration,stability_across_subperiods,hotspot_score
rsi_pullback_rep_user_subset_5y,RSI Pullback / Z-Score Pullback / Gap Reversion Family,regime_bucket,market_not_uptrend,73,58.62970252016512,1.3160107710895939,0.6575342465753424,0.06523271943087627,-0.05255174613616864,2803.336767441577,7083.30505141363,1.0,332.09012779323353
dse_exact_user_subset_5y,Down Streak Exhaustion,trend_alignment,trend_aligned,183,34.87258423106864,1.8798543087407336,0.5409836065573771,0.04438697489022806,-0.026424662471687344,5250.069416698181,11631.752330983745,0.8333333333333334,284.88923616239924
ma_regime_continuation_rep_user_subset_5y,Breakout / Trend-Continuation Family,gap_bucket,1% to 3%,70,64.7612472787597,1.5246852814327445,0.6285714285714286,0.07400940544073135,-0.0583926437632457,2868.7395438856984,7402.026853398877,0.6666666666666666,280.59948661683256
ma_regime_continuation_rep_user_subset_5y,Breakout / Trend-Continuation Family,vol_bucket,low_vol,176,52.930872293522334,1.534025534566716,0.6363636363636364,0.05566244547998464,-0.04937665234642544,5530.178928403106,14846.012452063036,0.6666666666666666,280.1929551393313
pullback_in_trend_rep_user_subset_5y,Pullback in Trend Family,vol_bucket,mid_vol,765,60.004377734831316,1.0339720461949737,0.6535947712418301,0.08526666055712323,-0.06865538864655175,48274.05634155984,94177.4053087058,0.6666666666666666,274.6919093647891
gap_reversion_rep_user_subset_5y,RSI Pullback / Z-Score Pullback / Gap Reversion Family,symbol,AAPL,16,46.703055886133825,2.5670976093337257,0.625,0.03880646185348941,-0.029568867763185958,227.9242953575368,975.1731895356779,0.8,271.74211185481204
rsi_pullback_rep_user_subset_5y,RSI Pullback / Z-Score Pullback / Gap Reversion Family,gap_bucket,-3% to -1%,209,41.68262611219007,1.4418633895976138,0.6220095693779905,0.052305252300030435,-0.03760982424771216,6346.436920040086,15058.10577748781,0.8333333333333334,267.8038766471179
volatility_contraction_breakout_rep_user_subset_5y,Breakout / Trend-Continuation Family,gap_bucket,>=3%,11,84.91523931873836,1.6523681552451592,0.6363636363636364,0.15448060969381852,-0.06569874125469627,493.7860920737708,1427.8537245798927,0.75,261.49524503949795
relative_strength_vs_benchmark_rep_user_subset_5y,Momentum / Relative-Strength Family,symbol,TSLA,323,67.9240802505928,1.3223030174321464,0.5325077399380805,0.15265189321039602,-0.11085611522969692,43341.56691203249,65281.04483297396,0.5,259.6022549127061
relative_strength_vs_benchmark_rep_user_subset_5y,Momentum / Relative-Strength Family,symbol,QQQ,123,64.15108058338473,1.1035340883827844,0.7967479674796748,0.04648443691105862,-0.02507287539252764,2372.4985516436404,10263.081463399962,0.75,255.93129842792092
