entry_time,exit_time,mode,side,entry_price,exit_price,gross_price_return_pct,net_trade_return_pct,bars_held,entry_reason,exit_reason,cost_bps_per_side,equity_after_trade
2021-08-10 11:00:00-04:00,2021-08-10 15:30:00-04:00,active,short,366.61,366.85,-0.06546466272060475,-0.1054344794740869,10,bearish_fvg_active,session_close,2.0,92020.56002505048
2021-08-11 10:00:00-04:00,2021-08-11 15:30:00-04:00,active,long,367.12,366.23,-0.24242754412725712,-0.2823265828067134,12,bullish_fvg_active,session_close,2.0,91760.76152245216
2021-08-12 10:00:00-04:00,2021-08-12 15:30:00-04:00,active,long,365.11,367.58,0.6765084495083592,0.6362418731888697,12,bullish_fvg_active,session_close,2.0,92344.58191041499
2021-08-13 10:00:00-04:00,2021-08-13 15:30:00-04:00,active,long,368.13,368.82,0.18743378697742583,0.1473628209599953,12,bullish_fvg_active,session_close,2.0,92480.66349132189
2021-08-16 10:00:00-04:00,2021-08-16 10:30:00-04:00,active,long,366.48,364.49,-0.5430037109801378,-0.5827825312158752,1,bullish_fvg_active,reverse_open,2.0,91941.70233974193
2021-08-16 10:30:00-04:00,2021-08-16 13:30:00-04:00,active,short,364.49,366.69,-0.6035830886992753,-0.6433376796071144,6,bearish_fvg_active,reverse_open,2.0,91350.20672531814
2021-08-16 13:30:00-04:00,2021-08-16 15:30:00-04:00,active,long,366.69,368.97,0.6217786140882025,0.5815339275137221,5,bullish_fvg_active,session_close,2.0,91881.43917027979
2021-08-17 10:00:00-04:00,2021-08-17 15:30:00-04:00,active,long,365.16,365.705,0.14924964399166366,0.10919395010406951,12,bullish_fvg_active,session_close,2.0,91981.76814312227
2021-08-18 10:00:00-04:00,2021-08-18 15:30:00-04:00,active,long,366.29,362.2,-1.1166015998252838,-1.1561510038494038,12,bullish_fvg_active,session_close,2.0,90918.32000737713
2021-08-19 10:00:00-04:00,2021-08-19 10:30:00-04:00,active,short,360.9,362.5,-0.44333610418399083,-0.483154787475748,1,bearish_fvg_active,reverse_open,2.0,90479.04379156897
2021-08-19 10:30:00-04:00,2021-08-19 15:30:00-04:00,active,long,362.5,363.96,0.4027586206896495,0.3626015333517252,11,bullish_fvg_active,session_close,2.0,90807.12219171917
2021-08-20 10:00:00-04:00,2021-08-20 15:30:00-04:00,active,long,366.7,367.75,0.2863376056722147,0.2462270820834611,12,bullish_fvg_active,session_close,2.0,91030.7139190158
2021-08-23 10:00:00-04:00,2021-08-23 15:30:00-04:00,active,long,370.69,373.2,0.6771156491947425,0.6368488300196873,12,bullish_fvg_active,session_close,2.0,91610.44195556763
2021-08-24 10:00:00-04:00,2021-08-24 15:30:00-04:00,active,long,373.82,374.39,0.15247980311379625,0.1124228172917352,12,bullish_fvg_active,session_close,2.0,91713.4329953475
2021-08-25 10:00:00-04:00,2021-08-25 15:30:00-04:00,active,long,374.93,374.57,-0.09601792334569484,-0.13597552001706203,12,bullish_fvg_active,session_close,2.0,91588.72517790657
