variant,selector,persistence,timeframe_min,timeframe_label,cost_bps_per_side,stop_loss_pct,take_profit_pct,ending_equity,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,profit_factor,trade_count,win_count,win_rate_pct,long_trades,short_trades,session_count,avg_trade_return_pct,avg_holding_bars,avg_holding_minutes,exposure_pct,bullish_signal_count,bearish_signal_count,bullish_event_count,bearish_event_count,bar_count
active_uncontested_carry,uncontested,carry,15,15m,0.0,0.75,0.75,86722.15084258467,-13.277849157415334,-2.842367428507686,21.293615607529503,-0.38729107635080284,0.9345430037625073,800,405,50.625,687,113,1245,-0.016264472459196738,14.38625,215.79375000000002,33.08928019771393,10951,451,984,1195,32370
active_dominant_count_carry,dominant_count,carry,10,10m,0.0,0.25,1.5,86695.06109716931,-13.304938902830688,-2.8485112290023817,33.5437430438543,-0.09859006973268503,0.9905154228607654,4885,1233,25.240532241555787,3100,1785,1245,-0.0017354157299816371,9.585261003070624,95.85261003070624,86.37833384821336,35973,11992,1442,1702,48555
active_nearest_mid_carry,nearest_mid,carry,30,30m,0.0,0.75,0.5,86694.03240319388,-13.305967596806124,-2.8487445611315554,26.55945110895923,-0.1337557383863721,0.9889363561994008,4044,2255,55.76162215628091,2620,1424,1245,-0.00236291591431407,3.6753214638971317,110.25964391691394,72.00494284831635,11695,4405,480,609,16185
active_uncontested_carry,uncontested,carry,60,60m,0.0,1.5,1.0,86652.74895343726,-13.347251046562747,-2.8581104472784613,20.901022840197026,-0.4058720175126168,0.9125372849239578,592,316,53.37837837837838,517,75,1245,-0.022180732973881238,5.268581081081081,316.11486486486484,28.99598393574297,3211,233,268,328,8715
active_nearest_mid_carry,nearest_mid,carry,3,3m,0.0,0.5,0.25,86649.20392822933,-13.350796071770677,-2.858914865324469,36.926920921456215,-0.10664198818361943,0.9963590996400674,22215,13027,58.640558181408956,12729,9486,1245,-0.00035930943838699965,7.22930452397029,21.68791357191087,93.30367624343529,112050,49794,5077,5764,161850
active_dominant_width_carry,dominant_width,carry,3,3m,0.0,0.25,1.5,86647.4773293593,-13.352522670640699,-2.859306665355743,29.18748326074365,-0.08406203162902987,0.9926416829003916,5635,1396,24.773735581188998,4279,1356,1245,-0.0013384612644992252,28.500266193433895,85.50079858030168,95.80970033982082,138566,23278,5077,5764,161850
active_uncontested_carry,uncontested,carry,10,10m,0.0,1.0,0.75,86605.92729749226,-13.394072702507732,-2.868737082293249,19.01121613576321,-0.4037729674158722,0.923808821232157,658,348,52.88753799392097,557,101,1245,-0.020026866773356203,24.6580547112462,246.580547112462,32.07084749253424,14692,648,1442,1702,48555
active_dominant_count_carry,dominant_count,carry,3,3m,0.0,0.75,1.5,86602.7797627281,-13.3972202372719,-2.8694516106006596,30.893424269306593,-0.0643976775353608,0.9912893575904878,2484,1088,43.80032206119163,1683,801,1245,-0.0028623220502358845,64.59782608695652,193.79347826086956,97.66017917825147,125674,34740,5077,5764,161850
active_dominant_width_carry,dominant_width,carry,3,3m,0.0,1.0,0.75,86565.68804917258,-13.434311950827427,-2.877873437030831,32.74029408917901,-0.07708029032413946,0.9923135481262075,3084,1655,53.664072632944226,2299,785,1245,-0.002325655197780087,52.074902723735406,156.2247081712062,97.41180105035527,138566,23278,5077,5764,161850
active_dominant_width_carry,dominant_width,carry,1,1m,0.0,1.0,0.5,86562.37117444958,-13.43762882555042,-2.878626687294017,33.50060471370454,-0.0749002549543495,0.9934761853709099,4202,2491,59.28129462160876,3386,816,1245,-0.0016885359188073977,115.23203236554022,115.23203236554022,98.89589125733704,439429,45839,15551,17074,485550
active_uncontested_carry,uncontested,carry,60,60m,0.0,2.0,2.0,86561.41227808919,-13.43858772191081,-2.8788444534818436,22.672603559415972,-0.39476317673840033,0.9043594981244304,543,289,53.22283609576427,493,50,1245,-0.02435232217709683,5.775322283609577,346.5193370165746,29.75329890992542,3211,233,268,328,8715
active_dominant_width_carry,dominant_width,carry,1,1m,0.0,1.0,0.25,86525.44694394653,-13.474553056053473,-2.887013601568711,31.7996285611833,-0.0781419187992353,0.9943866941810448,7400,5342,72.18918918918918,5861,1539,1245,-0.000980650326502666,65.43054054054053,65.43054054054053,98.23251982288127,439429,45839,15551,17074,485550
active_uncontested_carry,uncontested,carry,10,10m,0.0,1.0,4.0,86510.80093149525,-13.489199068504753,-2.8903410655651163,20.435494105366125,-0.4021214887123426,0.9071738740971642,519,262,50.481695568400774,473,46,1245,-0.025699139682268758,31.497109826589597,314.971098265896,32.608382246936465,14692,648,1442,1702,48555
active_latest_session_reset,latest,session_reset,1,1m,0.0,2.0,0.25,86432.90150411653,-13.567098495883478,-2.9080467843188074,41.524275314872924,-0.10207270192701529,0.9969874783055144,29911,12796,42.780248069272176,15529,14382,1245,-0.00026316669336822314,15.330948480492127,15.330948480492127,92.19112346823191,249289,129387,15551,17074,485550
active_uncontested_carry,uncontested,carry,15,15m,0.0,0.75,1.0,86417.2710183115,-13.582728981688508,-2.9116009619896466,22.043555642767853,-0.40309668065544446,0.9285533774673156,714,347,48.59943977591036,618,96,1245,-0.018695859041160435,16.140056022408963,242.10084033613444,33.40129749768304,10951,451,984,1195,32370
active_dominant_width_carry,dominant_width,carry,3,3m,0.0,1.5,2.0,86399.6406098558,-13.60035939014419,-2.915610512535316,33.48014974702177,-0.06761470379701866,0.9885794457377984,1705,815,47.80058651026393,1338,367,1245,-0.004223471473935675,94.19296187683284,282.5788856304985,98.26814952116158,138566,23278,5077,5764,161850
active_latest_carry,latest,carry,60,60m,0.0,0.5,0.5,86373.09277716183,-13.62690722283817,-2.921649316798358,25.428978570506022,-0.20554584054406175,0.9827895740063279,3394,1717,50.58927519151444,2202,1192,1245,-0.0034047001536788597,2.1794342958161463,130.7660577489688,47.84853700516351,6427,2204,268,328,8715
active_dominant_width_carry,dominant_width,carry,30,30m,0.0,0.25,3.0,86360.38855476074,-13.639611445239264,-2.9245396550579006,30.55321221962145,-0.1422129319751419,0.9844351659765321,3688,993,26.925162689804772,2640,1048,1245,-0.0027584706752372817,4.0292841648590025,120.87852494577008,69.06394810009267,12485,3615,480,609,16185
active_uncontested_carry,uncontested,carry,60,60m,0.0,2.0,4.0,86346.81073501104,-13.653189264988963,-2.927629120425479,22.50880657675759,-0.39983428989039943,0.8979221313593078,538,287,53.3457249070632,493,45,1245,-0.02520894988454977,5.83271375464684,349.9628252788104,29.83362019506598,3211,233,268,328,8715
active_dominant_count_carry,dominant_count,carry,5,5m,0.0,0.25,1.5,86234.79862934224,-13.765201370657753,-2.9531308876346363,29.680318137745953,-0.09142651388001112,0.9911873557184536,5258,1310,24.91441612780525,3554,1704,1245,-0.0016118038785145952,18.080068467097757,90.40034233548879,92.49510863968695,76019,19782,2932,3500,97110
active_nearest_mid_carry,nearest_mid,carry,60,60m,0.0,0.25,0.5,86214.78789505729,-13.785212104942712,-2.957689507547989,31.886401556760212,-0.26974261344678857,0.9803994668076085,4440,1696,38.1981981981982,3172,1268,1245,-0.00284281682032931,1.665990990990991,99.95945945945945,35.89213998852553,6573,2058,268,328,8715
active_dominant_count_carry,dominant_count,carry,5,5m,0.0,0.25,2.0,86118.61677502026,-13.881383224979738,-2.9796099092820105,32.60143020134617,-0.08990609836971923,0.9906340963807752,4883,1190,24.37026418185542,3377,1506,1245,-0.0017278830616276179,19.470407536350603,97.35203768175302,92.89259602512615,76019,19782,2932,3500,97110
