timeframe_minutes,family,domcycle,leveling,entry_buffer,exit_ratio,final_equity,total_return_pct,max_drawdown_pct,sharpe,profit_factor,trade_count,win_rate_pct,avg_trade_return_pct,avg_win_pct,avg_loss_pct,avg_holding_bars,long_trade_count,short_trade_count,long_avg_trade_return_pct,short_avg_trade_return_pct,positive_days_pct,positive_years,worst_year_return_pct,best_year_return_pct,avg_low_band,avg_high_band,avg_band_width,avg_long_entry_level,avg_long_exit_level,avg_short_entry_level,avg_short_exit_level,rank_in_timeframe
1,mean_reversion,40,10.0,0.0,1.0,719.3433242351557,-97.12262670305938,97.23693155658843,-4.540119137723498,0.7291090634306692,8893,51.32126391543911,-0.03917157581640704,0.205433715871117,-0.2970552790416054,51.53446530979422,4464,4429,-0.03409914483179472,-0.044284091489311665,35.82329317269076,0,-57.33709639795232,-13.823994596925173,40.70680563833108,60.646295406476774,19.939489768152118,40.70680563833108,60.646295406476774,60.646295406476774,40.70680563833108,34
1,breakout,30,5.0,4.0,0.5,690.1635477466147,-97.23934580901354,97.25079398410745,-7.571624533862771,0.5962447211194638,7988,30.783675513269905,-0.04462396176772236,0.2140691012754675,-0.15967663712008526,21.310966449674513,3893,4095,-0.04475230773439493,-0.0445019469085574,26.104417670682732,0,-57.50556950732467,-9.699461611354208,36.95810552003781,64.25046974918932,27.292364229146905,68.25046974918806,50.604287634618814,32.95810552003687,50.604287634618814,35
1,mean_reversion,30,5.0,4.0,0.0,680.1636872987578,-97.27934525080497,97.28703820586504,-13.020072490022626,0.3833294540366067,9416,36.023789294817334,-0.03817678046505553,0.06587625343778931,-0.09676706781539665,5.637638062871708,4882,4534,-0.03745600419932339,-0.0389528787732344,16.224899598393574,0,-56.80277619198595,-11.524167891002172,36.95810552003781,64.25046974918932,27.292364229146905,32.95810552003687,36.95810552003781,68.25046974918806,64.25046974918932,36
1,breakout,40,15.0,2.0,1.0,670.740912367736,-97.31703635052905,97.33123159871224,-4.574597103843994,0.7206187964999115,8771,34.70527875954851,-0.04058388144083396,0.30162438239336303,-0.22247351914142974,46.06453084026907,4337,4434,-0.03557282914954339,-0.04548530989985498,34.21686746987952,0,-55.33718726551429,-10.372028489375154,42.47539459770101,58.99267964462704,16.51728504692171,60.99267964462779,42.47539459770101,40.475394597703676,58.99267964462704,37
1,breakout,40,10.0,0.0,1.0,619.8296887196268,-97.5206812451215,97.53827009058224,-4.36741534454489,0.7315852729130268,8893,35.49983132801079,-0.04082842418359448,0.31346924829058026,-0.23582803227302696,51.53446530979422,4429,4464,-0.03571590851068495,-0.045900855168202005,34.4578313253012,0,-57.12345921935611,-9.634148498664079,40.70680563833108,60.646295406476774,19.939489768152118,60.646295406476774,40.70680563833108,40.70680563833108,60.646295406476774,38
1,mean_reversion,30,5.0,0.0,1.0,576.700774274228,-97.6931969029031,97.81876021141468,-4.928410335059336,0.7279055093500698,9801,49.668401183552696,-0.03773154782106035,0.20322620109171885,-0.27551430105589253,47.087031935516784,4913,4888,-0.033388782239454164,-0.04209652476508734,34.377510040160644,0,-68.00443872571817,-12.763891180797007,36.95810552003781,64.25046974918932,27.292364229146905,36.95810552003781,64.25046974918932,64.25046974918932,36.95810552003781,39
1,breakout,40,10.0,2.0,0.5,567.2723709646725,-97.73091051614131,97.73911392445217,-6.1140264109806655,0.6550884843298445,9398,31.506703553947645,-0.0398910574479482,0.2404721868103294,-0.16885727870766118,26.622366460949138,4634,4764,-0.0393648227225438,-0.040402932283694314,29.23694779116466,0,-60.08219682853066,-12.317996120953516,40.70680563833108,60.646295406476774,19.939489768152118,62.64629540647774,50.67655052240308,38.70680563832994,50.67655052240308,40
1,mean_reversion,20,5.0,4.0,1.0,556.5098585325195,-97.77396056586993,97.85582683551752,-5.806073119594233,0.7041105183393107,10816,48.724112426035504,-0.03468109883580265,0.1693792547200978,-0.22858626710836263,32.139792899408285,5498,5318,-0.030669220090689443,-0.03882876888856751,33.49397590361446,0,-61.57227204109278,-10.354673326626324,34.793112340425864,66.51630883492774,31.723196494497664,30.793112340426582,66.51630883492774,70.51630883492791,34.793112340425864,41
1,mean_reversion,40,10.0,2.0,0.5,555.1815033631023,-97.7792739865476,97.84472497620065,-6.638605587143423,0.627166141996678,9398,50.32985741647159,-0.040108942552053876,0.13405492435180014,-0.21658603990750608,26.622366460949138,4764,4634,-0.039597067716301546,-0.040635177277453444,31.566265060240962,0,-59.76997386112581,-13.510583964213618,40.70680563833108,60.646295406476774,19.939489768152118,38.70680563832994,50.67655052240308,62.64629540647774,50.67655052240308,42
1,mean_reversion,30,10.0,4.0,0.5,552.8787368629011,-97.7884850525484,97.86223951237038,-7.556241693838943,0.6065634865850346,9856,49.17816558441558,-0.0383246014315237,0.1201453377895886,-0.19166933998308155,21.587662337662337,5045,4811,-0.036844231525130056,-0.039876974363914484,29.31726907630522,0,-60.25178617192506,-13.76807845522011,39.42890135198476,62.00010769752191,22.571206345541007,35.42890135198555,50.714504524754524,66.00010769752365,50.714504524754524,43
